id;name;description;price;duration
2402e8b2-3e7c-43d6-97ef-6da97a19e2b4;those;because;8790.67;15744
e746ca0f-a0b9-4ad8-91da-e69e999c3d97;CD probate;faraway;10716.55;18755
b9c75bd6-fa2b-4c11-ae8b-47f1cd3be679;forgo;drat;19622.36;19083
3694dbb4-9b66-43d1-b6d9-39a951319070;yet;ew grounded questionable;25826;29126
8beb0521-4068-4f9c-9f7c-01b2b3c8629a;mid outrun rise;boohoo;18187.15;6416
81a6a1f5-9357-44b2-be54-568583fdbfa1;sheepishly;even;27808.52;693
78ce4b4e-4b8d-402d-a2e1-8c8677867e7e;mismatch square;terrorise;18254.9;32505
001eb421-a563-4836-b366-f7cc32c53e9e;rekindle;quizzically;17831.56;28841
cdf4d4b0-5a26-4fb5-ae47-58083eebac8e;failing gift gracefully;spotless;4482.81;6145
80b6145f-69bd-4b2f-a0d8-1cc448c5caba;pace baggy;aha tray;24665.82;11846
